Timestamp: 1734171093.989, ID: 0x60a, Data: 093f2c10
Timestamp: 1734171093.990, ID: 0x60b, Data: 004f7c0b80202171
Timestamp: 1734171093.990, ID: 0x60b, Data: 014e94078020a18a
Timestamp: 1734171093.990, ID: 0x60b, Data: 0250b415801fa16f
Timestamp: 1734171093.990, ID: 0x60b, Data: 044e6bf97fe0016a
Timestamp: 1734171093.990, ID: 0x60b, Data: 0555444580200184
Timestamp: 1734171093.990, ID: 0x60b, Data: 0651b427802021a7
Timestamp: 1734171093.990, ID: 0x60b, Data: 0851141a801fe176
Timestamp: 1734171093.991, ID: 0x60b, Data: 0951fc39801fe17f
Timestamp: 1734171093.991, ID: 0x60b, Data: 0a4ff41e80200179
Timestamp: 1734171093.991, ID: 0x60c, Data: 008ca53a8220e8
Timestamp: 1734171093.992, ID: 0x60c, Data: 0184a33a8220e8
Timestamp: 1734171093.992, ID: 0x60c, Data: 0294e74a8220a8
Timestamp: 1734171093.992, ID: 0x60c, Data: 049ced4d022088
Timestamp: 1734171093.992, ID: 0x60c, Data: 0595294b02202c
Timestamp: 1734171093.993, ID: 0x60c, Data: 068ca53a8220e8
Timestamp: 1734171093.993, ID: 0x60c, Data: 088ca53a8220e8
Timestamp: 1734171093.993, ID: 0x60c, Data: 09a52d4c022068
Timestamp: 1734171093.993, ID: 0x60c, Data: 0a9ce94c8220e8
Timestamp: 1734171093.994, ID: 0x60d, Data: 007d0fa170800a0c
Timestamp: 1734171093.994, ID: 0x60d, Data: 017d4fa170800c0c
Timestamp: 1734171093.994, ID: 0x60d, Data: 027c8fa070800505
Timestamp: 1734171093.994, ID: 0x60d, Data: 045b8fa070800505
Timestamp: 1734171093.995, ID: 0x60d, Data: 057cafa070800505
Timestamp: 1734171093.995, ID: 0x60d, Data: 067d6fa070800505
Timestamp: 1734171093.995, ID: 0x60d, Data: 087cefa070800505
Timestamp: 1734171093.995, ID: 0x60d, Data: 097c2fa070800505
Timestamp: 1734171093.996, ID: 0x60d, Data: 0a7e4fa070800505
Timestamp: 1734171094.039, ID: 0x60a, Data: 093f2d10
Timestamp: 1734171094.039, ID: 0x60b, Data: 004f7c0b80202172
Timestamp: 1734171094.040, ID: 0x60b, Data: 014e94078020a18b
Timestamp: 1734171094.040, ID: 0x60b, Data: 0250b415801fc170
Timestamp: 1734171094.040, ID: 0x60b, Data: 034e9c028020017b
